三山街地铁口万象天地南京院子中间楼层小两房诚心出售,双塘里 -来凤里,2室1厅 | 51.35平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,123,"23,954元/平"
新街口 市局房改房 24小时物业 干净清爽,金盾公寓 -新街口,3室2厅 | 91.35平米 | 南 | 简装 | 低楼层(共29层)  | 板塔结合,428,"46,853元/平"
满五年唯一 中间楼层 采光不挡 小区里面,集虹苑 -秦虹,2室1厅 | 55.09平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,136,"24,687元/平"
张府园地铁口 一中旁 绒庄新村 低总价3房,绒庄新村 -升州路,3室1厅 | 60.17平米 | 东 西 | 简装 | 高楼层(共7层)  | 板楼,138,"22,936元/平"
新上夫子庙3楼大三房大平台诚心卖有钥匙武定门地铁口,琵琶小区 -夫子庙,3室1厅 | 65.04平米 | 东 西 | 其他 | 中楼层(共5层)  | 板塔结合,204,"31,366元/平"
十号线旁 世茂物业 电梯三房两卫 小区中间  best楼层,世茂君望墅 -月牙湖,3室1厅 | 101.91平米 | 南 | 其他 | 高楼层(共15层)  | 板楼,318,"31,205元/平"
低楼层 婚装全明 划拨土地 小天堂站旁 苜蓿园 月牙湖,天坛新寓 -光华路,3室1厅 | 75.98平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,219,"28,824元/平"
钟英东苑，南北朝向，户型方正，业主诚心出售，采光好,王府园小区 -升州路,2室1厅 | 50.61平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,245,"48,410元/平"
双南户型，小区环境好，采光好，视野好，业主诚心卖,来凤新村 -来凤里,2室1厅 | 71.23平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,209,"29,342元/平"
南部新城   新空未住   复地宴南都   诚心出售,复地宴南都二期 -洪家园,3室1厅 | 97.31平米 | 南 | 其他 | 中楼层(共29层)  | 板塔结合,429,"44,086元/平"
新上 南部新城 出新小区 一楼带院两房,康居里 -秦虹,2室1厅 | 62.67平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,175,"27,925元/平"
中间楼层 双南户型 满五年唯一 全明两房 小区已出新,撮箕巷 -来凤里,2室1厅 | 55.77平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,152,"27,255元/平"
新街口张府园三山街 七家湾 电梯房万科金鼎湾旁,七家湾 -升州路,3室2厅 | 129.18平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,425,"32,900元/平"
精装修 双南两房 中间楼层 采光好阳光好 拎包即住,扇骨里小区 -秦虹,2室1厅 | 48.27平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,123,"25,482元/平"
