燕子矶门户 儿子婚装房 免5年物业费 中铁青秀城,中国铁建青秀城 -万寿,3室1厅 | 87.17平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,268,"30,745元/平"
万达茂新出 87平大两房 高楼层采光好 满五唯一 诚信卖,万达茂御湖仕家一二期 -仙林,2室1厅 | 86.33平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,209,"24,210元/平"
满两年 楼层好 小高层 价格可谈,电建洺悦府 -万寿,2室1厅 | 79.49平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,193,"24,280元/平"
融信飞机二次精装修三房 业主急售 拎包入住 ！！！,融信世纪东方 -仙林,3室1厅 | 99.16平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,290,"29,246元/平"
精装拎包住 全南向 采光无遮挡 仙林大学城临金鹰,赛世香樟园 -仙林,2室2厅 | 90.56平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,280,"30,919元/平"
精装修 满两年 南北通透 绿城物业 视野采光俱佳,东方兰园 -万寿,3室2厅 | 123.45平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,333,"26,975元/平"
总价低 满2年 三房 全南向 简单装修,万达茂御湖仕家三期 -仙林,3室2厅 | 97.34平米 | 南 | 简装 | 低楼层(共32层)  | 板楼,230,"23,629元/平"
万寿 东方兰园 两房 中间楼层 有钥匙 价格可谈,东方兰园 -万寿,2室1厅 | 82.6平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,240,"29,056元/平"
得房率高，从未住过，开发商装修价格低业主诚售,融信世纪东方 -仙林,3室2厅 | 88.28平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,275,"31,151元/平"
御湖仕家，湖景房，毛坯房，大三房，诚心出售,万达茂御湖仕家三期 -仙林,3室2厅 | 99.78平米 | 南 北 | 其他 | 中楼层(共20层)  | 板楼,260,"26,058元/平"
仙林湖畔 万科金色领域 精装三房 无遮挡采光 飞机户型,万科金色领域 -仙林,3室2厅 | 90.19平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,230,"25,502元/平"
中铁青秀城双地铁，小区环境优美，物业管理严谨急售。,中国铁建青秀城 -万寿,3室2厅 | 123.45平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,320,"25,922元/平"
高楼层 视野好 满2年 拎包入住 业主诚心卖,新城香悦澜山 -仙林,3室2厅 | 89.68平米 | 南 北 | 其他 | 高楼层(共27层)  | 板塔结合,240,"26,762元/平"
新空毛胚房新婚改善专属大四房车位加10万一起卖急售,仙龙湾山庄 -仙林,4室2厅 | 143.11平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,440,"30,746元/平"
星空毛坯，视野好，三开间朝南，小区中间位置,新城香悦澜山 -仙林,3室2厅 | 87.99平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板塔结合,245,"27,845元/平"
和燕路 晓庄双地铁 花园洋房 电梯房 采光好双阳光台,大地伊丽雅特湾 -晓庄,3室2厅 | 102.96平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,319,"30,983元/平"
可低价出 地铁6 7号线 招商花园城旁 次新精装 精致3房,东方兰园 -万寿,3室1厅 | 95.29平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,252,"26,446元/平"
迈皋桥地铁 中电 三室两卫 精装 配套齐全 交通便利,中电颐和府邸 -迈皋桥,3室2厅 | 127.14平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,485,"38,147元/平"
地铁口 产权外有保姆间 精装 中间楼层  价格可谈,金尧华府 -尧化门,3室2厅 | 106.75平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,265,"24,825元/平"
一号线七号线双地铁500米  商品房 楼层好 不临街,和燕路小区 -晓庄,2室1厅 | 79.84平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,113,"14,154元/平"
花园洋房，次顶楼，三开间朝南，双地铁，精装修,世茂招商语山 -马群,3室2厅 | 88.84平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,320,"36,020元/平"
湖城艺境 简装好房 交通生活便利 诚心出售,金地湖城艺境 -仙林,3室2厅 | 97.41平米 | 南 北 | 简装 | 低楼层(共27层)  | 板塔结合,240,"24,639元/平"
高楼层、满二年、精装修、诚心出售、价格可沟通,金地湖城艺境 -仙林,4室2厅 | 117.7平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,339,"28,803元/平"
精装修 地暖 采光可以 通透户型,保利罗兰春天 -仙林,3室2厅 | 95.65平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,260,"27,183元/平"
三开间朝南 楼层采光好 精装全屋中Y空调 诚售可谈,万达茂御湖仕家一二期 -仙林,3室2厅 | 87.73平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,252,"28,725元/平"
中间楼层 采光充足，房东诚售价格可谈，交通便利,花港幸福城牡丹园 -马群,3室1厅 | 88.59平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,122,"13,772元/平"
电梯三房 商品房小区 银城物业 楼层好 采光好,兰亭雅苑 -迈皋桥,3室2厅 | 108.33平米 | 南 北 | 其他 | 高楼层(共11层)  | 塔楼,268,"24,740元/平"
房屋无抵押 产权清晰 楼层好 业主诚心出售,花港幸福城杜鹃园 -马群,3室2厅 | 87.02平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板楼,119,"13,676元/平"
此房位置佳，楼层好，采光好，诚售,万达茂御湖仕家三期 -仙林,3室2厅 | 111.88平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,309,"27,619元/平"
华侨城麓苑开发商精装小3房 楼层好 采光棒 拎包住,翡翠天域麓园  -栖霞其它,3室1厅 | 88.32平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,155,"17,550元/平"
电梯花园洋房 小区环境优美 临地铁口中间楼层采光好,仙龙湾山庄 -仙林,3室2厅 | 120.37平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,399,"33,148元/平"
乐居雅花园 2013年商品房 全明三房满五年唯一地铁口,乐居雅花园 -万寿,3室2厅 | 98.4平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,185,"18,801元/平"
总监推荐 欢乐谷板块 低密度洋房 采光不挡 诚售,翡翠天域麓园  -栖霞其它,3室2厅 | 115.64平米 | 南 北 | 精装 | 低楼层(共10层)  | 板楼,200,"17,296元/平"
天悦花园大三房好位置好楼层精装修拎包入住业主诚售,天悦花园 -马群,3室2厅 | 110.49平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,245,"22,174元/平"
户型方正 业主诚心出售  采光不挡,翡翠天悦星园一期 -栖霞其它,3室2厅 | 91.75平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,159,"17,330元/平"
