Total_Price,Unit_Price,District,Area,Furnished,Bedroom,Living_Room,Total_Floors,Detailed_Floor,Facing_South
145,9485,Gaochun,152.88,Fully Furnished,3,1,8,4,1
59.8,5680,Gaochun,105.3,Fully Furnished,2,1,6,3,1
116,9633,Gaochun,120.42,Fully Furnished,3,2,7,4,1
69.8,7035,Gaochun,99.22,Other,2,2,6,5,1
90,7006,Gaochun,128.47,Part Furnished,3,2,4,2,1
150,9530,Gaochun,157.4,Not Furnished,4,2,4,3,1
35,5556,Gaochun,63,Part Furnished,2,1,4,2,1
78,5915,Gaochun,131.89,Not Furnished,4,2,8,4,1
55,6458,Gaochun,85.17,Not Furnished,2,1,10,5,1
99.8,7285,Gaochun,137,Other,4,2,27,19,1
90,7340,Gaochun,122.62,Other,3,1,27,13,1
53,6015,Gaochun,88.12,Other,3,1,23,11,0
58.5,6639,Gaochun,88.12,Other,2,2,23,5,1
50.8,5765,Gaochun,88.12,Other,3,1,23,5,0
78,5837,Gaochun,133.65,Other,3,2,26,12,1
59.8,6686,Gaochun,89.45,Other,2,2,6,3,0
92,6663,Gaochun,138.08,Other,3,2,6,2,0
65,7803,Gaochun,83.31,Other,3,2,4,3,0
106,6882,Gaochun,154.04,Other,4,2,11,8,1
75,8764,Gaochun,85.58,Other,3,2,11,8,1
53.8,5828,Gaochun,92.32,Other,3,2,27,19,1
66,5498,Gaochun,120.05,Other,3,2,6,3,1
169.8,10982,Gaochun,154.63,Other,4,2,6,3,1
94.8,8835,Gaochun,107.31,Other,3,2,11,3,1
78.8,10575,Gaochun,74.52,Other,2,2,8,6,0
70,6949,Gaochun,100.74,Other,3,2,7,5,0
50,5772,Gaochun,86.63,Other,2,2,6,5,1
58,7021,Gaochun,82.62,Other,2,2,6,5,0
60,6498,Gaochun,92.35,Other,3,1,27,13,0
155,7454,Gaochun,207.96,Other,5,2,6,5,0
69,8349,Gaochun,82.65,Other,2,2,6,2,0
58,6810,Gaochun,85.17,Other,2,2,10,5,0
150,7143,Gaochun,210,Part Furnished,3,2,6,2,0
58,7128,Gaochun,81.38,Other,2,2,6,2,1
48,4260,Gaochun,112.69,Other,3,2,6,3,1
70,5986,Gaochun,116.94,Other,3,2,7,5,1
98,7437,Gaochun,131.78,Other,3,2,6,3,1
45,7804,Gaochun,57.67,Fully Furnished,2,1,4,1,1
238,12170,Gaochun,195.57,Other,5,3,3,1,1
598,13318,Gaochun,449.02,Other,5,2,3,1,1
51,5812,Gaochun,87.76,Other,2,2,11,3,1
78,9117,Gaochun,85.56,Other,3,2,11,5,1
149.8,15481,Gaochun,96.77,Other,3,2,5,2,0
82,7172,Gaochun,114.34,Other,3,2,20,15,1
80,6589,Gaochun,121.43,Other,3,2,11,5,0
33.8,4724,Gaochun,71.56,Other,2,2,6,5,0
52,5588,Gaochun,93.07,Other,2,2,16,12,1
105,7351,Gaochun,142.85,Fully Furnished,3,2,6,3,1
